entity_name,trade_name,regulator,jurisdiction,license_type,licensed_activities,status,license_date,source_url,official_website,last_checked,notes
Maerki Baumann &Co. Ltd. (ADGM Branch),,FSRA,Abu Dhabi Global Market (ADGM),Bank,Arranging Deals in Investments ; Arranging Custody,Listed in public register,2026-01-01,https://www.adgm.com/public-registers/fsra,https://www.maerki-baumann.ch/en,2026-07-01,
JINGDONG COINLINK TECHNOLOGY (MIDDLE EAST) LIMITED (JD Stablecoin),,FSRA,Abu Dhabi Global Market (ADGM),Issuance,Issuing a Fiat - Referenced Token,Listed in public register,2026-01-01,https://www.adgm.com/public-registers/fsra,https://corporate.jd.com/,2026-07-01,
BITEXEN MENA LTD,,FSRA,Abu Dhabi Global Market (ADGM),Exchange,Operating a Multilateral Trading Facility,Listed in public register,2026-05-01,https://www.adgm.com/public-registers/fsra,https://global.bitexen.com/,2026-07-01,
BITEXEN CUSTODY LTD,,FSRA,Abu Dhabi Global Market (ADGM),Custody,Providing Custody,Listed in public register,2026-05-01,https://www.adgm.com/public-registers/fsra,https://global.bitexen.com/,2026-07-01,
AMINA Bank AG,,FSRA,Abu Dhabi Global Market (ADGM),Bank,Advising on Investments or Credit ; Arranging Deals in Investments ; Arranging Custody ; Arranging Credit,Listed in public register,2022-02-01,https://www.adgm.com/public-registers/fsra,https://aminagroup.com/corporates/trading/,2026-07-01,
Aspen Digital Financial Limited,,FSRA,Abu Dhabi Global Market (ADGM),Advisory,Advising on Investments or Credit,Listed in public register,2024-12-01,https://www.adgm.com/public-registers/fsra,https://www.aspendigital.co/,2026-07-01,
Aspen Digital Financial Limited,,FSRA,Abu Dhabi Global Market (ADGM),Asset Management / Fund,Managing a Collective Investment Fund ; Managing Assets,Listed in public register,2024-12-01,https://www.adgm.com/public-registers/fsra,https://www.aspendigital.co/,2026-07-01,
Aspen Digital Financial Limited,,FSRA,Abu Dhabi Global Market (ADGM),Broker-dealer,Arranging Deals in Investments ; Dealing in Investments as Principal (Matched),Listed in public register,2024-12-01,https://www.adgm.com/public-registers/fsra,https://www.aspendigital.co/,2026-07-01,
Aspen Digital Financial Limited,,FSRA,Abu Dhabi Global Market (ADGM),Custody,Providing Custody,Listed in public register,2024-12-01,https://www.adgm.com/public-registers/fsra,https://www.aspendigital.co/,2026-07-01,
BEAM VENTURES LTD,,FSRA,Abu Dhabi Global Market (ADGM),Asset Management / Fund,Managing a Collective Investment Fund,Listed in public register,2026-01-01,https://www.adgm.com/public-registers/fsra,https://www.beamventures.com/,2026-07-01,
BurjX MENA Ltd,,FSRA,Abu Dhabi Global Market (ADGM),Broker-dealer,Dealing in Investments as Principal (Matched),Listed in public register,2025-06-01,https://www.adgm.com/public-registers/fsra,https://burjx.com/,2026-07-01,
BurjX MENA Ltd,,FSRA,Abu Dhabi Global Market (ADGM),Custody,Providing Custody,Listed in public register,2025-06-01,https://www.adgm.com/public-registers/fsra,https://burjx.com/,2026-07-01,
Changer.ae Limited,,FSRA,Abu Dhabi Global Market (ADGM),Broker-dealer,Dealing in Investments as Agent ; Arranging Deals in Investments,Listed in public register,2024-07-01,https://www.adgm.com/public-registers/fsra,https://changer.ae/,2026-07-01,
Changer.ae Limited,,FSRA,Abu Dhabi Global Market (ADGM),Custody,Providing Custody,Listed in public register,2023-09-01,https://www.adgm.com/public-registers/fsra,https://changer.ae/,2026-07-01,
Circle Internet MEA Ltd,,FSRA,Abu Dhabi Global Market (ADGM),Broker-dealer,Arranging Deals in Investments,Listed in public register,2025-11-01,https://www.adgm.com/public-registers/fsra,https://www.circle.com/,2026-07-01,
Circle Internet MEA Ltd,,FSRA,Abu Dhabi Global Market (ADGM),Money Services,Providing Money Services,Listed in public register,2025-11-01,https://www.adgm.com/public-registers/fsra,https://www.circle.com/,2026-07-01,
Copper Securities (ME) Limited,,FSRA,Abu Dhabi Global Market (ADGM),Broker-dealer,Dealing in Investments as Principal (Matched),Listed in public register,2022-04-01,https://www.adgm.com/public-registers/fsra,https://copper.co/en-uae,2026-07-01,
Copper Securities (ME) Limited,,FSRA,Abu Dhabi Global Market (ADGM),Custody,Arranging Custody,Listed in public register,2022-04-01,https://www.adgm.com/public-registers/fsra,https://copper.co/en-uae,2026-07-01,
eToro (ME) Ltd,,FSRA,Abu Dhabi Global Market (ADGM),Asset Management / Fund,Managing Assets,Listed in public register,2023-10-01,https://www.adgm.com/public-registers/fsra,https://www.etoro.com/,2026-07-01,
eToro (ME) Ltd,,FSRA,Abu Dhabi Global Market (ADGM),Broker-dealer,Dealing in Investments as Principal (Matched) ; Arranging Deals in Investments,Listed in public register,2023-10-01,https://www.adgm.com/public-registers/fsra,https://www.etoro.com/,2026-07-01,
eToro (ME) Ltd,,FSRA,Abu Dhabi Global Market (ADGM),Custody,Arranging Custody ; Providing Custody,Listed in public register,2023-10-01,https://www.adgm.com/public-registers/fsra,https://www.etoro.com/,2026-07-01,
