entity_name,trade_name,regulator,jurisdiction,license_type,licensed_activities,status,license_date,source_url,official_website,last_checked,notes
Bank Frick AG (DIFC Branch),,DFSA,Dubai International Financial Centre (DIFC),Bank,Arranging Deals in Investments; Arranging Custody,Listed in public register,2025-12-01,https://www.dfsa.ae/public-register/firms,https://www.bankfrick.li/en/contact,2026-06-04,
EGS Capital Limited,,DFSA,Dubai International Financial Centre (DIFC),Advisory,Advising on Financial Products,Listed in public register,2022-07-01,https://www.dfsa.ae/public-register/firms,https://www.egscapitalltd.com/,2026-06-04,
EGS Capital Limited,,DFSA,Dubai International Financial Centre (DIFC),Asset Management / Fund,Managing Assets,Listed in public register,2022-07-01,https://www.dfsa.ae/public-register/firms,https://www.egscapitalltd.com/,2026-06-04,
EGS Capital Limited,,DFSA,Dubai International Financial Centre (DIFC),Broker-dealer,Arranging Deals in Investments ; Dealing in Investments as Agent ; Dealing in Investments as Principal,Listed in public register,2022-07-01,https://www.dfsa.ae/public-register/firms,https://www.egscapitalltd.com/,2026-06-04,
EGS Capital Limited,,DFSA,Dubai International Financial Centre (DIFC),Custody,Arranging Custody ; Providing Custody,Listed in public register,2022-07-01,https://www.dfsa.ae/public-register/firms,https://www.egscapitalltd.com/,2026-06-04,
IG Limited,,DFSA,Dubai International Financial Centre (DIFC),Broker-dealer,Arranging Deals in Investments ; Dealing in Investments as Principal,Listed in public register,2015-06-01,https://www.dfsa.ae/public-register/firms,https://www.ig.com/ae,2026-06-04,
Index & Cie Limited,,DFSA,Dubai International Financial Centre (DIFC),Advisory,Advising on Financial Products,Listed in public register,2015-12-01,https://www.dfsa.ae/public-register/firms,https://www.indexcie.com/,2026-06-04,
Index & Cie Limited,,DFSA,Dubai International Financial Centre (DIFC),Asset Management / Fund,Managing Assets,Listed in public register,2015-12-01,https://www.dfsa.ae/public-register/firms,https://www.indexcie.com/,2026-06-04,
Index & Cie Limited,,DFSA,Dubai International Financial Centre (DIFC),Broker-dealer,Arranging Deals in Investments,Listed in public register,2015-12-01,https://www.dfsa.ae/public-register/firms,https://www.indexcie.com/,2026-06-04,
Index & Cie Limited,,DFSA,Dubai International Financial Centre (DIFC),Custody,Arranging Custody,Listed in public register,2015-12-01,https://www.dfsa.ae/public-register/firms,https://www.indexcie.com/,2026-06-04,
InvestSky Financial Limited,,DFSA,Dubai International Financial Centre (DIFC),Broker-dealer,Arranging Deals in Investments,Listed in public register,2022-11-01,https://www.dfsa.ae/public-register/firms,https://www.investsky.com/,2026-06-04,
Julius Baer (Middle East) Limited,,DFSA,Dubai International Financial Centre (DIFC),Broker-dealer,Arranging Deals in Investments,Listed in public register,2004-09-01,https://www.dfsa.ae/public-register/firms,https://www.juliusbaer.com/en/about-us/our-locations/dubai/,2026-06-04,
Julius Baer (Middle East) Limited,,DFSA,Dubai International Financial Centre (DIFC),Custody,Arranging Custody,Listed in public register,2004-09-01,https://www.dfsa.ae/public-register/firms,https://www.juliusbaer.com/en/about-us/our-locations/dubai/,2026-06-04,
Menhir Capital Management Limited,,DFSA,Dubai International Financial Centre (DIFC),Advisory,Advising on Financial Products,Listed in public register,2023-05-01,https://www.dfsa.ae/public-register/firms,https://www.menhircapital.ae/,2026-06-04,
Menhir Capital Management Limited,,DFSA,Dubai International Financial Centre (DIFC),Asset Management / Fund,Managing Assets,Listed in public register,2023-05-01,https://www.dfsa.ae/public-register/firms,https://www.menhircapital.ae/,2026-06-04,
Pepperstone Financial Services (DIFC) Limited,,DFSA,Dubai International Financial Centre (DIFC),Broker-dealer,Arranging Deals in Investments,Listed in public register,2020-03-01,https://www.dfsa.ae/public-register/firms,https://pepperstone.com/en-ae/,2026-06-04,
Qube Research and Technologies DIFC Limited,,DFSA,Dubai International Financial Centre (DIFC),Advisory,Advising on Financial Products,Listed in public register,2023-08-01,https://www.dfsa.ae/public-register/firms,https://www.qube-rt.com,2026-06-04,
Qube Research and Technologies DIFC Limited,,DFSA,Dubai International Financial Centre (DIFC),Asset Management / Fund,Managing Assets,Listed in public register,2023-08-01,https://www.dfsa.ae/public-register/firms,https://www.qube-rt.com,2026-06-04,
Qube Research and Technologies DIFC Limited,,DFSA,Dubai International Financial Centre (DIFC),Broker-dealer,Arranging Deals in Investments,Listed in public register,2023-08-01,https://www.dfsa.ae/public-register/firms,https://www.qube-rt.com,2026-06-04,
Ripple Middle East Limited,,DFSA,Dubai International Financial Centre (DIFC),Broker-dealer,Arranging Deals in Investments,Listed in public register,2025-03-01,https://www.dfsa.ae/public-register/firms,https://ripple.com/,2026-06-04,
Ripple Middle East Limited,,DFSA,Dubai International Financial Centre (DIFC),Custody,Providing Custody,Listed in public register,2025-03-01,https://www.dfsa.ae/public-register/firms,https://ripple.com/,2026-06-04,
Standard Chartered Bank,,DFSA,Dubai International Financial Centre (DIFC),Bank,Arranging Custody; Providing Custody,Listed in public register,2004-09-01,https://www.dfsa.ae/public-register/firms,https://www.sc.com/ae/,2026-06-04,
Vy Capital Management Company Limited,,DFSA,Dubai International Financial Centre (DIFC),Asset Management / Fund,Managing Assets,Listed in public register,2013-12-01,https://www.dfsa.ae/public-register/firms,https://www.vycapital.com/,2026-06-04,
