entity_name,trade_name,regulator,jurisdiction,license_type,licensed_activities,status,license_date,source_url,official_website,last_checked,notes
Daman Virtual Asset Brokerage LLC,,VARA,Dubai,Broker-dealer,Broker-Dealer Services,Listed in public register,2026-04-01,https://www.vara.ae/en/licenses-and-register/public-register/,https://damanvirtual.com/,2026-07-01,
Liquidity Fintech FZE (LTP group),,VARA,Dubai,Broker-dealer,Broker-Dealer Services,Listed in public register,2026-04-01,https://www.vara.ae/en/licenses-and-register/public-register/,https://www.liquiditytech.com/en/ae,2026-07-01,
First Crypto Exchange L.L.C (First Crypto),,VARA,Dubai,Broker-dealer,Broker-Dealer Services,Listed in public register,2026-04-01,https://www.vara.ae/en/licenses-and-register/public-register/,https://fce.global/,2026-07-01,
CoinCorner Virtual Assets Broker & Dealer Services L.L.C.,,VARA,Dubai,Broker-dealer,Broker-Dealer Services,Listed in public register,2026-05-01,https://www.vara.ae/en/licenses-and-register/public-register/,https://www.coincorner.com/,2026-07-01,
Amber Premium FZE,,VARA,Dubai,Asset Management / Fund,Management and Investment Services,Listed in public register,2026-04-01,https://www.vara.ae/en/licenses-and-register/public-register/,https://www.ambr.io/uae,2026-07-01,
Amber Premium FZE,,VARA,Dubai,Broker-dealer,Broker-Dealer Services,Listed in public register,2026-04-01,https://www.vara.ae/en/licenses-and-register/public-register/,https://www.ambr.io/uae,2026-07-01,
Amber Premium FZE,,VARA,Dubai,Lending & Borrowing,Lending and Borrowing Services,Listed in public register,2026-04-01,https://www.vara.ae/en/licenses-and-register/public-register/,https://www.ambr.io/uae,2026-07-01,
Animoca Brands Middle East Advisory FZCO,,VARA,Dubai,Asset Management / Fund,Management and Investment Services,Listed in public register,2026-02-01,https://www.vara.ae/en/licenses-and-register/public-register/,https://animocabrands.me/,2026-07-01,
Animoca Brands Middle East Advisory FZCO,,VARA,Dubai,Broker-dealer,Broker-Dealer Services,Listed in public register,2026-02-01,https://www.vara.ae/en/licenses-and-register/public-register/,https://animocabrands.me/,2026-07-01,
Aquanow ME FZE,,VARA,Dubai,Asset Management / Fund,Management and Investment Services,Listed in public register,2024-07-01,https://www.vara.ae/en/licenses-and-register/public-register/,https://www.aquanow.com/uae,2026-07-01,
Aquanow ME FZE,,VARA,Dubai,Broker-dealer,Broker-Dealer Services,Listed in public register,2024-07-01,https://www.vara.ae/en/licenses-and-register/public-register/,https://www.aquanow.com/uae,2026-07-01,
Aquanow ME FZE,,VARA,Dubai,Lending & Borrowing,Lending and Borrowing Services,Listed in public register,2024-07-01,https://www.vara.ae/en/licenses-and-register/public-register/,https://www.aquanow.com/uae,2026-07-01,
